"RecordNo";"Q5";"Q6";"Index1";"Index2";"Index3";"Index4";"Index5";"Index6";"Index7";"Index8";"Index9";"Index10";"Index11";"Index12";"Index13";"Index14";"Index15";"Index16";"Index17";"Index18";"Index19";"Index20"
1665;104;104;;;;;;;;;;;;;;;;;;;;
1666;104;103;;;;;;;;;;;;;;;;;;;;
1672;104;104;;;;;;;;;;;;;;;;;;;;
1674;104;102;;;;;;;;;;;;;;;;;;;;
1686;104;104;;;;;;;;;;;;;;;;;;;;
1692;104;104;;;;;;;;;;;;;;;;;;;;
1694;104;103;;;;;;;;;;;;;;;;;;;;
1697;104;103;;;;;;;;;;;;;;;;;;;;
1705;104;101;;;;;;;;;;;;;;;;;;;;
1710;104;103;;;;;;;;;;;;;;;;;;;;
1712;104;103;;;;;;;;;;;;;;;;;;;;
1716;104;105;;;;;;;;;;;;;;;;;;;;
1717;104;105;;;;;;;;;;;;;;;;;;;;
1718;104;103;;;;;;;;;;;;;;;;;;;;
1719;104;105;;;;;;;;;;;;;;;;;;;;
1724;104;104;;;;;;;;;;;;;;;;;;;;
1725;104;103;;;;;;;;;;;;;;;;;;;;
1729;104;105;;;;;;;;;;;;;;;;;;;;
1733;104;105;;;;;;;;;;;;;;;;;;;;
1734;104;102;;;;;;;;;;;;;;;;;;;;
1739;104;102;;;;;;;;;;;;;;;;;;;;
1740;104;102;;;;;;;;;;;;;;;;;;;;
1746;104;104;;;;;;;;;;;;;;;;;;;;
1749;104;103;;;;;;;;;;;;;;;;;;;;
1752;104;103;;;;;;;;;;;;;;;;;;;;
1754;104;105;;;;;;;;;;;;;;;;;;;;
1763;104;105;;;;;;;;;;;;;;;;;;;;
1767;104;105;;;;;;;;;;;;;;;;;;;;
1771;104;103;;;;;;;;;;;;;;;;;;;;
1777;104;102;;;;;;;;;;;;;;;;;;;;
1783;104;102;;;;;;;;;;;;;;;;;;;;
1792;102;105;;;;;;;;;;;;;;;;;;;;
1799;104;104;;;;;;;;;;;;;;;;;;;;
1800;104;101;;;;;;;;;;;;;;;;;;;;
